mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
12.656748453776041,0.10803812442919557,2.561962366104126,0.7655017404813846,10,sqrt,1,2,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.5107978404319136,0.5004500450045004,0.47434743474347435,0.4951984400599628,0.015337156072385554,105
12.448978424072266,0.1338662210811387,1.8341782887776692,1.336924179308902,10,sqrt,1,5,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5}",0.5053989202159568,0.4977497749774977,0.495949594959496,0.49969943005098355,0.004096608607923845,95
12.855118989944458,0.32066728338799294,1.8396454652150471,0.5023685351083529,10,sqrt,1,10,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.49610077984403117,0.501950195019502,0.48814881488148815,0.4953999299150071,0.005656142171465789,104
12.456355015436808,0.5146601942052603,0.5519931316375732,0.17709694276582205,10,sqrt,5,2,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2}",0.5011997600479904,0.49624962496249625,0.48364836483648366,0.4936992499489901,0.0073887833008221635,106
12.388776938120523,0.14650545617965932,2.330482323964437,0.35382984848201754,10,sqrt,5,5,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5}",0.5011997600479904,0.49624962496249625,0.48364836483648366,0.4936992499489901,0.0073887833008221635,106
12.328257401784262,0.13976596594791954,2.2336944739023843,0.7111427550869795,10,sqrt,5,10,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10}",0.5011997600479904,0.49624962496249625,0.48364836483648366,0.4936992499489901,0.0073887833008221635,106
12.845937490463257,0.25172915601377666,2.4170220692952475,0.4415143881134489,10,sqrt,10,2,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 2}",0.4856028794241152,0.48064806480648065,0.47014701470147013,0.47879931964402195,0.006443825602231519,112
12.551940123240152,0.4180928367516836,1.325060208638509,0.5114670169867676,10,sqrt,10,5,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 5}",0.4856028794241152,0.48064806480648065,0.47014701470147013,0.47879931964402195,0.006443825602231519,112
12.7020263671875,0.1351550974168868,0.6691190401713053,0.2163002702851434,10,sqrt,10,10,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 10}",0.4856028794241152,0.48064806480648065,0.47014701470147013,0.47879931964402195,0.006443825602231519,112
6.141970713933309,1.9743882769424623,4.462782144546509,1.651761958035242,10,log2,1,2,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}",0.4409118176364727,0.44014401440144013,0.43504350435043504,0.43869977879611594,0.0026043089382196414,127
6.835347652435303,1.5568037013615663,4.451937278111775,1.616688929459386,10,log2,1,5,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5}",0.4481103779244151,0.43384338433843384,0.43204320432043203,0.4379989888610936,0.007187503211208358,128
6.0651553471883135,1.1990330465416434,5.065655867258708,1.7154674779976016,10,log2,1,10,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10}",0.4361127774445111,0.4365436543654365,0.4389438943894389,0.4372001087331288,0.0012455266735029854,129
5.357476631800334,0.6682924652685398,6.192849795023601,0.9521366432403796,10,log2,5,2,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 2}",0.4352129574085183,0.43204320432043203,0.42754275427542754,0.43159963866812595,0.003147016247352198,130
6.2740631103515625,0.4394170859588678,4.729811032613118,0.3553018731021173,10,log2,5,5,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 5}",0.4352129574085183,0.43204320432043203,0.42754275427542754,0.43159963866812595,0.003147016247352198,130
5.5103526910146075,1.9470530336667704,4.169439713160197,1.6858204176823461,10,log2,5,10,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 10}",0.4352129574085183,0.43204320432043203,0.42754275427542754,0.43159963866812595,0.003147016247352198,130
5.393462737401326,1.8920159566334602,4.141809940338135,1.5476614369882153,10,log2,10,2,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 2}",0.4226154769046191,0.42694269426942694,0.40564056405640564,0.4183995784101506,0.009193314164466669,133
2.044776201248169,0.17554613950072695,3.137745459874471,0.5036295308800459,10,log2,10,5,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 5}",0.4226154769046191,0.42694269426942694,0.40564056405640564,0.4183995784101506,0.009193314164466669,133
2.053089221318563,0.26612465583524125,1.7613887786865234,0.4528566159682611,10,log2,10,10,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 10, 'min_samples_split': 10}",0.4226154769046191,0.42694269426942694,0.40564056405640564,0.4183995784101506,0.009193314164466669,133
572.3110785484314,3.8576886139457143,6.080436627070109,0.21221864703535082,10,0.5,1,2,"{'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.5236952609478105,0.5082508250825083,0.49924992499249926,0.5103986703409394,0.010094669944501457,79
